,Wfgm,Wfga,WfgRatio,Wfgm3,Wfga3,Wfg3Ratio,Wftm,Wfta,WftRatio,Wor,Wdr,Wast,Wto,Wstl,Wblk
1103,19,48,40,5,16,31,11,22,50,11,19,8,14,12,8
1103,25,47,53,9,23,39,11,17,65,10,24,21,20,7,4
1103,23,63,37,2,14,14,19,23,83,16,27,11,8,8,6
1103,24,52,46,6,19,32,14,28,50,10,33,12,15,6,6
1103,28,55,51,9,18,50,23,31,74,8,28,21,13,4,5
1103,27,54,50,8,24,33,10,17,59,12,18,18,16,14,4
1103,22,46,48,5,14,36,13,29,45,9,27,16,17,6,10
1103,23,52,44,3,11,27,16,25,64,13,31,12,14,8,3
1103,25,59,42,7,22,32,15,26,58,14,24,10,17,13,5
1103,25,52,48,11,22,50,12,20,60,7,25,16,15,6,5
1103,27,46,59,10,21,48,20,32,63,10,23,17,11,7,8
1103,25,57,44,6,16,38,18,32,56,14,22,12,12,6,4
1103,26,54,48,11,21,52,16,26,62,15,29,14,12,4,7
1103,26,58,45,10,26,38,21,29,72,12,21,13,7,3,6
1103,23,51,45,11,29,38,20,29,69,9,30,18,11,7,4
1103,21,59,36,3,13,23,14,26,54,20,22,9,16,11,2
1103,26,65,40,3,23,13,17,24,71,14,21,10,8,6,4
1103,28,63,44,9,15,60,18,29,62,17,28,10,17,5,4
1103,21,48,44,6,24,25,11,17,65,9,29,13,16,8,5
1103,27,58,47,10,19,53,14,22,64,16,28,19,13,7,14
1103,29,56,52,12,27,44,12,26,46,11,23,10,17,9,3
1103,25,52,48,10,24,42,13,14,93,6,28,16,11,8,5
1103,17,53,32,3,23,13,15,20,75,13,21,11,11,7,3
1103,26,55,47,5,17,29,8,13,62,14,19,10,17,9,4
1103,21,46,46,4,18,22,16,24,67,10,26,12,17,5,4
1103,23,58,40,7,15,47,4,10,40,11,24,15,11,10,1
1103,29,56,52,8,21,38,17,28,61,10,26,7,12,8,3
1103,20,48,42,6,14,43,12,24,50,8,27,10,8,4,6
1103,28,46,61,7,12,58,20,34,59,8,18,9,9,7,4
1103,25,53,47,12,30,40,12,21,57,9,25,17,12,7,5
1103,24,60,40,8,27,30,10,13,77,13,28,14,12,10,6
1103,21,50,42,4,20,20,22,27,81,8,24,6,15,6,6
1103,24,52,46,9,23,39,15,23,65,11,30,13,13,4,5
1103,24,56,43,9,25,36,24,37,65,17,26,18,14,8,4
1103,24,55,44,13,33,39,12,18,67,9,29,20,9,7,9
1103,23,64,36,12,32,38,12,18,67,18,24,12,19,12,6
1103,26,63,41,11,34,32,16,22,73,8,25,12,10,11,3
1103,27,56,48,10,28,36,8,13,62,13,26,15,9,5,6
1103,24,44,55,8,25,32,11,21,52,9,27,13,17,10,8
1103,27,60,45,14,35,40,14,29,48,16,27,14,14,4,6
1103,24,56,43,9,21,43,14,18,78,8,31,9,13,1,1
1103,23,55,42,7,26,27,6,10,60,11,26,12,13,4,3
1103,23,57,40,9,33,27,14,22,64,12,26,12,13,10,3
1103,25,54,46,10,24,42,15,26,58,11,22,17,9,5,4
1103,22,55,40,6,19,32,11,14,79,8,22,13,6,8,4
1103,23,54,43,11,28,39,13,20,65,12,24,16,9,6,5
1103,26,51,51,14,30,47,10,15,67,12,21,14,16,5,5
1103,17,45,38,12,29,41,12,17,71,7,32,10,11,3,7
1103,16,47,34,5,24,21,16,24,67,7,24,8,3,1,5
1103,24,53,45,7,19,37,10,19,53,12,29,13,15,5,3
1103,29,57,51,13,28,46,17,25,68,13,24,16,12,3,4
1103,28,68,41,15,35,43,11,13,85,15,23,18,5,7,5
1103,26,64,41,9,28,32,16,26,62,14,34,16,12,3,7
1103,27,65,42,9,26,35,12,16,75,17,32,16,19,7,3
1103,26,63,41,15,35,43,14,20,70,14,27,15,10,6,8
1103,27,56,48,15,32,47,15,21,71,5,22,17,11,7,4
1103,29,63,46,13,33,39,7,9,78,13,25,10,14,5,2
1103,22,52,42,8,23,35,26,32,81,10,29,15,11,4,1
1103,26,66,39,13,32,41,15,24,63,8,30,19,3,6,4
1103,26,64,41,12,37,32,11,17,65,14,25,17,8,2,2
1103,18,53,34,9,29,31,17,31,55,11,24,9,8,6,5
1103,26,55,47,13,26,50,27,36,75,10,21,18,10,4,5
1103,26,54,48,14,26,54,9,9,100,4,24,17,8,3,6
1103,19,44,43,12,31,39,26,35,74,4,25,15,13,7,6
1103,26,50,52,10,24,42,11,15,73,8,21,18,15,10,4
1103,27,64,42,9,28,32,17,21,81,9,29,11,8,9,4
1103,30,61,49,16,32,50,16,25,64,12,27,21,8,3,3
1103,28,57,49,16,32,50,11,15,73,7,27,16,13,6,4
1103,26,63,41,13,32,41,15,21,71,11,18,14,10,9,7
1103,31,65,48,19,41,46,8,10,80,8,29,21,10,11,3
1103,32,74,43,20,43,47,7,11,64,18,29,18,8,4,2
1103,26,69,38,7,33,21,15,19,79,14,27,11,7,10,2
1103,21,62,34,9,33,27,14,22,64,10,28,10,5,4,3
1103,29,53,55,9,24,38,13,20,65,4,22,13,9,3,5
1104,25,52,48,6,21,29,14,14,100,8,19,14,12,8,4
1104,26,58,45,7,21,33,6,10,60,8,16,16,8,8,1
1104,25,44,57,9,15,60,18,31,58,8,29,13,15,10,2
1104,23,57,40,8,21,38,5,9,56,14,22,17,11,11,7
1104,30,64,47,5,20,25,10,18,56,18,22,13,13,9,12
1104,23,45,51,5,14,36,15,22,68,9,24,9,20,9,4
1104,25,48,52,6,16,38,9,17,53,7,31,17,14,7,7
1104,23,54,43,6,14,43,16,19,84,9,16,12,7,10,5
1104,31,58,53,8,13,62,5,8,63,13,22,12,12,12,5
1104,18,41,44,6,11,55,8,15,53,6,19,11,16,10,2
1104,21,57,37,2,13,15,15,21,71,9,23,9,6,10,9
1104,19,46,41,3,11,27,18,25,72,16,22,9,21,7,5
1104,19,50,38,7,16,44,13,18,72,10,17,8,9,12,3
1104,19,54,35,2,18,11,20,33,61,15,28,9,10,6,9
1104,19,49,39,6,18,33,8,14,57,5,28,9,9,8,7
1104,22,47,47,6,19,32,18,33,55,10,21,12,12,12,7
1104,20,51,39,3,15,20,21,27,78,12,19,10,14,18,1
1104,22,56,39,5,24,21,12,16,75,12,29,13,11,8,4
1104,20,48,42,7,18,39,14,17,82,10,18,6,12,9,4
1104,19,46,41,5,10,50,15,19,79,9,26,5,10,4,7
1104,28,51,55,6,14,43,14,17,82,12,20,9,17,8,5
1104,25,52,48,6,19,32,19,25,76,11,29,10,13,10,6
1104,26,58,45,9,19,47,15,25,60,15,30,18,11,10,7
1104,15,43,35,6,20,30,23,32,72,9,24,8,9,10,6
1104,24,44,55,5,14,36,11,21,52,7,22,11,16,12,3
1104,25,52,48,6,16,38,12,19,63,9,16,13,8,8,2
1104,30,57,53,10,25,40,10,16,63,8,25,17,11,7,6
1104,27,52,52,8,16,50,20,26,77,8,21,18,14,7,4
1104,24,58,41,3,17,18,16,24,67,14,28,10,12,8,6
1104,27,47,57,10,21,48,16,29,55,6,18,16,8,7,3
1104,24,49,49,10,18,56,15,23,65,8,30,13,13,6,6
1104,29,53,55,6,16,38,19,27,70,12,29,10,13,8,1
1104,29,63,46,7,23,30,17,19,89,14,20,17,8,14,9
1104,23,49,47,2,17,12,32,42,76,14,23,9,15,7,3
1104,28,49,57,9,19,47,16,21,76,8,28,13,14,5,4
1104,21,50,42,8,22,36,26,29,90,6,26,6,9,5,4
1104,27,63,43,8,25,32,20,25,80,15,23,18,16,10,0
1104,17,39,44,6,14,43,25,35,71,8,22,9,9,7,2
1104,23,56,41,4,17,24,10,16,63,13,25,11,11,7,9
1104,17,51,33,4,22,18,18,30,60,8,31,7,12,9,5
1104,28,53,53,7,23,30,13,18,72,11,24,18,14,9,2
1104,21,47,45,5,23,22,18,25,72,9,27,10,8,8,4
1104,20,48,42,6,22,27,10,12,83,9,25,15,12,7,2
1104,20,45,44,5,18,28,12,16,75,10,21,8,13,4,8
1104,16,37,43,6,18,33,24,34,71,5,30,6,10,7,3
1104,17,52,33,5,27,19,16,22,73,8,25,9,11,7,3
1104,27,51,53,9,21,43,16,21,76,9,31,13,17,7,4
1104,21,42,50,6,19,32,11,16,69,6,20,12,11,4,4
1104,23,52,44,6,21,29,9,16,56,10,21,8,11,4,5
1104,29,57,51,4,17,24,15,27,56,10,28,13,12,11,6
1104,32,59,54,15,25,60,26,35,74,6,26,19,11,6,8
1104,17,42,40,5,20,25,25,33,76,6,24,8,12,2,4
1104,31,57,54,6,17,35,6,10,60,10,24,11,12,7,3
1104,17,40,43,11,29,38,13,18,72,1,27,12,17,5,6
1104,21,61,34,7,20,35,2,5,40,21,23,14,15,7,5
1104,28,54,52,5,15,33,11,17,65,10,30,12,14,3,2
1104,17,46,37,5,24,21,28,43,65,10,27,10,13,6,7
1104,22,48,46,11,24,46,13,17,76,9,27,13,13,8,4
1104,24,51,47,13,28,46,12,21,57,13,25,16,17,8,3
1104,24,60,40,4,21,19,11,13,85,12,30,8,16,9,5
1104,27,58,47,11,29,38,17,27,63,13,27,14,20,5,5
1104,25,53,47,9,28,32,21,33,64,14,24,14,13,4,9
1104,22,55,40,8,25,32,11,16,69,14,22,10,13,12,3
1104,21,50,42,5,12,42,14,24,58,6,29,10,10,8,5
1104,25,54,46,11,33,33,15,18,83,9,30,10,14,3,4
1104,21,54,39,6,19,32,17,29,59,13,24,12,13,7,4
1104,28,53,53,12,24,50,13,28,46,5,30,14,9,6,12
1105,23,57,40,5,16,31,8,10,80,13,27,15,8,2,4
1105,24,57,42,5,16,31,6,8,75,12,25,10,13,7,8
1105,30,72,42,7,18,39,11,15,73,21,25,22,7,7,2
1105,29,70,41,7,17,41,23,40,58,15,30,16,21,9,4
1105,20,44,45,4,10,40,20,29,69,12,23,7,18,8,4
1105,23,53,43,4,16,25,15,27,56,14,24,16,14,5,5
1105,26,53,49,6,16,38,14,22,64,11,24,13,8,2,2
1105,27,64,42,7,23,30,13,19,68,12,33,13,8,4,2
1105,21,52,40,4,16,25,13,27,48,13,28,13,13,7,4
1105,25,57,44,8,18,44,8,13,62,8,23,9,10,6,4
1105,18,46,39,8,23,35,24,33,73,9,19,7,16,9,3
1105,24,58,41,10,22,45,12,18,67,17,21,18,12,6,5
1105,25,55,45,3,11,27,15,31,48,15,29,15,7,5,9
1105,24,47,51,9,17,53,6,14,43,9,24,19,11,3,3
1105,22,48,46,3,13,23,20,30,67,8,27,18,11,7,4
1105,27,49,55,5,16,31,32,49,65,11,38,10,21,5,1
1105,24,56,43,4,16,25,16,23,70,10,31,11,12,3,5
1105,21,46,46,11,21,52,19,27,70,12,28,12,20,8,7
1105,22,50,44,5,19,26,23,29,79,8,26,16,8,11,8
1105,31,60,52,9,18,50,9,16,56,12,27,22,11,5,3
1105,23,53,43,4,15,27,19,27,70,17,29,14,19,10,5
1105,24,49,49,5,17,29,14,18,78,11,21,17,9,5,1
1105,26,49,53,10,18,56,24,31,77,10,22,7,8,5,1
1105,17,51,33,9,23,39,8,15,53,12,19,11,12,3,1
1105,27,54,50,6,15,40,18,31,58,11,33,22,14,5,3
1105,24,59,41,9,26,35,17,28,61,15,28,16,14,8,2
1105,26,56,46,6,19,32,22,34,65,15,22,13,11,6,2
1105,24,56,43,6,19,32,19,26,73,10,27,10,9,3,1
1105,24,63,38,5,12,42,17,25,68,16,20,16,13,9,2
1105,25,64,39,8,29,28,10,17,59,14,23,10,15,12,1
1105,27,58,47,8,27,30,12,20,60,7,24,20,14,6,2
1105,27,61,44,7,24,29,12,18,67,16,25,13,13,3,2
1105,27,60,45,8,24,33,23,28,82,11,28,17,10,2,3
1105,28,68,41,8,30,27,16,19,84,17,29,13,14,8,1
1105,25,52,48,7,19,37,26,33,79,13,29,15,14,2,5
1105,21,49,43,4,17,24,25,31,81,9,24,8,9,5,1
1105,28,55,51,8,19,42,14,20,70,6,28,16,7,3,1
1105,16,50,32,1,12,8,21,29,72,12,30,9,7,6,2
1105,16,49,33,6,21,29,23,30,77,14,22,12,15,9,4
1106,28,54,52,10,17,59,8,24,33,15,25,19,12,3,4
1106,21,52,40,8,21,38,20,31,65,11,29,10,21,10,3
1106,23,55,42,6,18,33,17,23,74,12,25,15,11,11,3
1106,27,58,47,5,15,33,10,14,71,15,24,14,15,9,4
1106,18,50,36,4,15,27,9,15,60,11,28,13,19,8,2
1106,27,57,47,3,10,30,16,24,67,16,25,11,13,8,7
1106,26,46,57,2,9,22,15,32,47,13,27,13,14,6,1
1106,22,44,50,6,11,55,16,26,62,10,24,7,10,3,2
1106,26,57,46,5,13,38,17,27,63,10,21,10,9,5,2
1106,24,48,50,4,16,25,32,39,82,11,24,11,13,4,2
1106,26,56,46,6,21,29,21,26,81,15,20,11,11,4,0
1106,19,48,40,4,18,22,17,28,61,9,23,13,11,5,8
1106,25,61,41,9,29,31,9,12,75,17,23,15,10,6,1
1106,31,63,49,7,18,39,24,32,75,12,37,17,15,9,8
1106,24,51,47,9,22,41,20,28,71,7,21,18,13,7,6
1106,23,61,38,3,13,23,18,24,75,19,22,7,16,9,0
1106,23,68,34,4,21,19,8,10,80,14,21,10,7,1,2
1106,25,57,44,7,20,35,19,32,59,18,31,18,15,9,4
1106,30,68,44,4,19,21,15,25,60,19,29,12,14,3,6
1106,28,66,42,5,14,36,14,18,78,16,22,11,12,8,2
1106,31,58,53,8,18,44,22,29,76,11,18,15,11,11,4
1106,30,59,51,8,23,35,22,29,76,11,26,17,17,8,4
1106,25,58,43,7,25,28,11,26,42,17,22,16,15,10,6
1106,22,61,36,8,22,36,15,18,83,9,25,12,6,8,4
1106,24,52,46,1,9,11,15,19,79,12,28,11,15,7,1
1106,35,78,45,8,17,47,13,17,76,20,27,20,15,12,8
1106,31,60,52,4,9,44,14,25,56,13,34,14,10,3,2
1106,29,62,47,4,17,24,9,20,45,11,28,14,10,8,6
1106,24,51,47,6,15,40,18,24,75,10,31,12,11,3,9
1106,24,48,50,8,13,62,18,25,72,15,24,14,16,4,3
1106,35,68,51,5,15,33,13,19,68,13,23,22,11,8,1
1106,24,58,41,2,11,18,9,21,43,14,22,9,12,13,0
1106,32,70,46,5,15,33,15,25,60,18,33,18,12,4,4
1106,22,67,33,2,12,17,17,27,63,21,33,9,7,6,4
1106,26,54,48,8,22,36,13,18,72,14,21,14,18,9,6
1106,18,46,39,7,18,39,30,41,73,11,18,9,13,10,1
1106,25,56,45,7,22,32,8,12,67,12,22,10,18,8,1
1106,25,50,50,9,15,60,12,19,63,9,22,11,15,4,1
1106,18,53,34,4,11,36,16,24,67,14,27,9,16,3,5
1106,31,60,52,7,23,30,9,14,64,5,27,25,7,5,6
1106,23,45,51,8,18,44,8,9,89,8,33,11,24,6,6
1106,36,71,51,7,22,32,14,20,70,17,33,20,15,8,5
1106,30,71,42,9,28,32,16,21,76,15,21,12,8,4,4
1106,21,62,34,9,32,28,15,21,71,14,20,13,16,13,3
1106,23,63,37,6,21,29,11,17,65,16,28,9,13,10,1
1106,23,68,34,4,24,17,25,37,68,23,37,12,17,5,7
1106,28,49,57,8,14,57,19,27,70,8,22,16,15,3,4
1106,26,56,46,10,23,43,11,16,69,13,23,11,16,4,2
1106,28,65,43,8,19,42,10,16,63,14,19,8,4,6,2
1106,29,65,45,2,14,14,17,25,68,14,28,14,9,3,2
1106,27,60,45,6,22,27,13,18,72,11,27,16,11,11,2
1106,28,61,46,10,21,48,7,16,44,11,27,13,12,3,5
1106,24,55,44,9,24,38,14,19,74,6,38,16,12,1,6
1106,20,57,35,11,23,48,8,10,80,14,24,12,14,7,5
1107,28,61,46,7,19,37,6,7,86,14,21,13,12,6,2
1107,23,51,45,7,19,37,10,16,63,6,18,14,13,6,5
1107,17,42,40,5,10,50,23,28,82,8,23,7,15,5,3
1107,31,58,53,15,29,52,6,11,55,12,25,24,14,5,0
1107,23,44,52,4,15,27,16,23,70,5,19,13,14,6,3
1107,21,53,40,6,20,30,21,24,88,11,22,11,11,9,3
1107,23,43,53,11,17,65,20,27,74,8,29,15,18,4,0
1107,22,54,41,8,22,36,15,20,75,6,28,7,7,4,4
1107,21,53,40,10,25,40,18,23,78,13,23,11,10,6,0
1107,21,42,50,10,24,42,19,28,68,10,23,14,15,6,1
1107,17,52,33,3,15,20,20,27,74,13,26,9,12,5,2
1107,20,44,45,5,16,31,20,25,80,8,28,12,16,7,2
1107,28,59,47,1,12,8,14,17,82,10,31,15,10,6,1
1107,23,53,43,7,16,44,23,30,77,8,29,11,12,8,4
1107,22,51,43,3,11,27,21,29,72,12,23,8,12,6,0
1107,19,55,35,4,16,25,14,20,70,13,29,5,13,5,2
1107,31,56,55,11,23,48,6,8,75,10,24,23,9,7,0
1107,30,55,55,7,22,32,12,19,63,12,26,19,18,7,5
1107,26,47,55,10,16,63,13,17,76,6,28,13,18,12,2
1107,18,42,43,1,6,17,21,30,70,12,21,7,16,11,0
1107,19,46,41,5,12,42,13,18,72,10,27,6,14,2,3
1107,17,50,34,3,9,33,13,17,76,12,20,6,14,3,0
1107,21,52,40,8,18,44,11,16,69,14,24,10,11,3,4
1107,20,41,49,4,12,33,9,13,69,3,18,11,9,10,4
1107,21,52,40,4,10,40,28,36,78,14,24,8,14,11,4
1107,24,54,44,8,21,38,15,20,75,11,20,16,8,6,3
1107,21,39,54,7,15,47,21,22,95,6,29,12,21,4,1
1107,18,49,37,4,10,40,26,35,74,10,30,9,8,5,9
1107,19,48,40,1,6,17,35,46,76,9,29,10,12,8,2
1107,25,51,49,4,11,36,16,21,76,10,27,12,11,5,3
1107,25,43,58,16,23,70,15,17,88,10,27,18,12,2,2
1107,22,51,43,6,19,32,23,27,85,11,27,8,20,10,8
1107,28,53,53,4,11,36,25,32,78,5,18,14,11,9,4
1107,22,46,48,7,16,44,15,27,56,18,20,12,19,7,1
1107,23,45,51,5,11,45,26,32,81,8,23,11,14,6,4
1107,27,53,51,8,17,47,11,17,65,11,30,17,12,6,3
1107,27,60,45,9,14,64,11,13,85,12,24,15,15,4,2
1107,21,51,41,5,16,31,10,18,56,13,26,13,14,12,4
1107,21,48,44,3,11,27,21,25,84,12,18,7,11,6,3
1107,32,57,56,11,20,55,11,16,69,10,26,17,9,8,2
1107,20,49,41,5,16,31,22,31,71,13,32,5,13,4,4
1107,23,52,44,5,11,45,18,19,95,7,25,9,10,9,2
1107,22,56,39,5,20,25,16,19,84,9,36,9,16,10,4
1107,24,50,48,9,18,50,18,25,72,11,20,14,9,3,0
1107,20,37,54,8,16,50,29,32,91,7,23,7,16,3,2
1107,22,48,46,4,13,31,16,18,89,9,18,10,12,8,1
1107,28,53,53,7,17,41,14,19,74,11,21,15,5,4,4
1107,24,46,52,9,19,47,23,31,74,8,26,18,10,6,1
1107,20,49,41,6,13,46,18,21,86,7,21,7,10,8,1
1107,17,38,45,8,19,42,22,25,88,5,23,12,16,6,1
1107,24,54,44,8,19,42,17,20,85,13,22,13,7,5,1
1107,20,45,44,5,14,36,19,23,83,8,28,10,12,4,3
1107,21,46,46,1,11,9,19,21,90,9,25,9,11,6,2
1107,23,49,47,7,22,32,16,21,76,11,22,12,10,7,1
1107,19,53,36,3,11,27,6,11,55,12,31,6,13,5,1
1107,31,56,55,10,20,50,5,8,63,7,18,23,6,9,1
1107,20,53,38,6,19,32,17,22,77,14,20,5,9,6,2
1107,21,40,53,9,18,50,18,27,67,5,28,15,17,4,0
1107,24,52,46,4,15,27,10,16,63,14,30,15,12,2,0
1107,22,48,46,6,18,33,15,21,71,8,26,8,11,4,2
1107,20,46,43,5,18,28,25,30,83,11,20,10,10,5,0
1107,26,53,49,7,20,35,8,14,57,12,27,12,14,9,2
1107,22,42,52,6,9,67,29,38,76,5,21,9,13,9,3
1107,27,54,50,11,25,44,18,23,78,15,25,9,14,6,4
1107,21,42,50,4,13,31,14,16,88,3,25,8,11,6,3
1107,19,61,31,1,10,10,12,15,80,15,26,7,5,4,2
1107,29,55,53,12,19,63,18,26,69,9,20,18,13,10,1
1107,25,47,53,4,16,25,20,30,67,11,25,10,16,5,3
1107,31,55,56,9,20,45,17,24,71,6,34,23,8,8,2
1107,18,54,33,3,11,27,19,28,68,17,27,9,13,8,5
1107,26,55,47,9,26,35,27,30,90,10,27,11,12,2,2
1107,28,57,49,6,13,46,13,24,54,16,31,18,16,9,0
1107,23,60,38,2,11,18,17,25,68,15,26,11,7,9,0
1107,22,46,48,6,17,35,15,19,79,9,24,15,13,4,3
1107,24,45,53,6,10,60,17,21,81,4,25,14,14,4,0
1107,21,51,41,7,16,44,26,29,90,13,32,17,17,2,4
1107,26,51,51,5,21,24,16,23,70,13,23,11,15,6,1
1107,24,57,42,1,11,9,20,26,77,13,28,7,8,6,2
1107,23,61,38,11,24,46,23,27,85,8,27,13,14,8,3
1107,27,46,59,6,17,35,20,22,91,9,23,11,15,7,0
1107,24,50,48,5,19,26,22,28,79,5,22,14,14,12,2
1107,28,58,48,11,26,42,19,25,76,11,38,14,12,6,3
1107,26,56,46,7,19,37,20,24,83,9,29,16,19,8,1
1107,22,52,42,6,17,35,25,37,68,11,27,7,6,6,1
1107,22,45,49,6,16,38,19,23,83,6,30,12,12,6,1
1107,41,71,58,7,21,33,19,24,79,13,38,21,14,11,1
1107,29,53,55,7,15,47,17,22,77,9,28,12,17,6,4
1107,33,72,46,5,14,36,15,20,75,19,33,15,10,7,1
1107,28,59,47,4,21,19,15,21,71,14,33,13,14,7,3
1108,24,56,43,7,19,37,14,20,70,8,27,12,8,9,2
1108,20,47,43,7,17,41,21,34,62,6,20,8,14,10,2
1108,16,48,33,5,17,29,14,26,54,7,26,5,13,5,5
1108,29,56,52,10,21,48,12,19,63,8,25,16,7,9,5
1108,26,57,46,6,17,35,14,22,64,8,25,14,18,5,4
1108,23,47,49,1,8,13,22,36,61,7,35,3,16,7,5
1108,20,55,36,6,13,46,15,20,75,13,24,3,12,5,4
1108,27,61,44,8,21,38,16,20,80,13,21,15,13,8,5
1108,28,51,55,8,12,67,17,26,65,9,18,12,13,7,1
1108,21,43,49,4,10,40,18,23,78,4,22,6,9,3,2
1108,20,34,59,5,12,42,19,28,68,6,21,10,10,3,2
1108,22,48,46,5,14,36,16,22,73,2,24,10,6,2,4
1108,25,49,51,8,18,44,13,17,76,5,22,20,6,6,3
1108,24,51,47,3,8,38,19,26,73,11,25,12,10,4,4
